Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2020-04-15,3.26,3.38,2704.82,2685.05,2684.73
2020-09-02,2.42,2.54,2876.05,2856.14,2855.66
2020-10-28,3.08,3.2,2812.35,2793.5,2792.42
2020-09-03,2.43,2.55,2874.85,2854.97,2854.49
2021-01-14,2.75,2.87,2960.79,2941.6,2940.0
2021-02-25,3.01,3.13,2943.95,2925.3,2924.25
2021-03-17,3.22,3.34,2936.51,2918.12,2916.92
2020-12-17,2.42,2.54,2972.71,2953.13,2951.64
2021-03-02,3.35,3.47,2895.99,2877.74,2876.67
2021-03-03,3.36,3.48,2895.52,2877.29,2876.22
2020-04-17,3.0,3.12,2748.74,2728.62,2728.4
2020-10-23,2.83,2.95,2847.24,2828.06,2825.99
2020-08-11,2.14,2.26,2914.45,2894.0,2893.41
2020-08-05,2.04,2.16,2928.85,2908.23,2907.63
