Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2019-05-14,8.63,8.75,627.64,623.75,623.54
2019-05-20,8.87,8.99,620.73,616.9,616.69
2019-10-25,6.11,6.23,736.25,731.97,731.79
2019-07-01,7.07,7.19,686.98,682.76,682.57
2019-09-02,7.1,7.22,694.37,690.25,690.06
2019-09-16,7.02,7.14,699.02,694.89,694.7
2018-09-18,12.12,12.24,488.3,485.04,484.82
2018-09-10,12.08,12.2,488.07,484.79,484.57
2018-09-20,11.93,12.05,493.96,490.66,490.44
2018-11-21,9.73,9.85,567.81,564.04,563.83
2019-06-17,7.45,7.57,672.0,667.87,667.67
2019-03-11,8.7,8.82,616.32,612.39,612.18
2019-03-19,8.5,8.62,624.15,620.18,619.98
2019-06-10,7.74,7.86,661.08,657.01,656.81
2019-03-07,8.88,9.0,610.02,606.13,605.92
2019-03-22,8.78,8.9,615.54,611.64,611.44
2019-03-29,8.66,8.78,620.5,616.57,616.37
2019-01-30,8.72,8.84,610.38,606.41,606.21
2019-02-19,8.59,8.71,617.52,613.55,613.34
2019-05-23,8.64,8.76,628.76,624.88,624.67
2019-11-13,6.32,6.44,731.08,726.88,726.7
2019-09-05,6.94,7.06,700.47,696.32,696.13
2019-07-15,6.88,7.0,695.55,691.3,691.12
2019-07-23,6.9,7.02,695.94,691.72,691.53
2018-08-08,10.93,11.05,516.08,512.54,512.32
2018-08-10,11.38,11.5,503.36,499.92,499.7
2018-10-16,10.19,10.31,548.42,544.74,544.53
2018-10-19,9.99,10.11,555.25,551.53,551.32
2019-03-06,8.89,9.01,609.49,605.6,605.39
2019-04-16,8.74,8.86,620.35,616.46,616.25
2019-01-23,8.89,9.01,603.75,599.82,599.62
2019-04-04,8.74,8.86,618.7,614.8,614.59
2019-04-23,8.7,8.82,622.47,618.58,618.38
2019-05-21,8.72,8.84,625.75,621.9,621.69
2019-04-24,8.61,8.73,625.62,621.7,621.5
2019-10-08,6.62,6.74,715.88,711.69,711.51
2019-08-27,7.11,7.23,693.27,689.14,688.95
2019-07-29,6.87,6.99,697.74,693.51,693.33
2019-08-22,6.84,6.96,702.11,697.91,697.73
2018-08-21,11.67,11.79,496.61,493.24,493.02
2018-10-17,10.09,10.21,551.72,548.02,547.81
2018-09-03,12.2,12.32,483.91,480.66,480.44
2018-11-22,9.62,9.74,571.5,567.7,567.5
2019-04-30,8.74,8.86,622.21,618.33,618.12
2019-05-13,8.6,8.72,628.41,624.51,624.3
2019-04-05,8.68,8.8,620.86,616.95,616.75
2019-04-25,8.8,8.92,619.64,615.78,615.57
2019-01-17,9.02,9.14,598.68,594.78,594.57
2019-03-12,8.63,8.75,618.83,614.88,614.68
2019-02-05,8.59,8.71,615.51,611.52,611.32
2019-08-19,6.86,6.98,700.86,696.66,696.47
2019-10-07,6.57,6.69,717.45,713.25,713.06
2019-07-24,6.84,6.96,698.25,694.01,693.83
2018-11-05,9.7,9.82,566.46,562.67,562.47
2018-10-04,11.28,11.4,514.47,511.04,510.82
2018-08-30,11.95,12.07,490.32,487.02,486.8
2018-10-22,9.98,10.1,555.78,552.05,551.84
2019-04-12,8.78,8.9,618.64,614.76,614.55
2019-05-07,8.65,8.77,625.95,622.07,621.86
2019-05-08,8.63,8.75,626.81,622.92,622.71
2019-05-15,8.57,8.69,629.8,625.9,625.69
2019-05-16,8.63,8.75,628.05,624.16,623.96
2022-11-10,12.66,12.78,775.31,773.18,773.18
2022-11-21,13.56,13.68,764.56,762.47,762.47
2022-10-28,11.92,12.04,783.48,781.32,781.32
2022-10-04,11.45,11.57,784.9,782.68,782.68
2022-10-11,11.57,11.69,784.72,782.51,782.51
2022-10-31,11.92,12.04,783.83,781.67,781.67
2022-10-24,11.77,11.89,784.38,782.19,782.19
2022-10-25,11.79,11.91,784.42,782.24,782.24
2022-11-25,13.68,13.8,764.41,762.33,762.33
2022-11-18,13.18,13.3,769.61,767.51,767.51
